No,title,author,cost,review,sales_volume
1,이게 되네? 제미나이 완전 미친 활용법 81제,오힘찬 저,"21,600",9.9,"판매지수 49,464"
2,혼자 공부하는 바이브 코딩 with 클로드 코드,조태호 저,"27,000",9.9,"판매지수 34,683"
3,생성형 AI 활용과 실습,서지영 저,"22,500",리뷰 없음,"판매지수 7,710"
4,피지컬 AI 메가 트렌드,"최홍섭, 원미르 저","20,700",9.8,"판매지수 18,609"
5,요즘 바이브 코딩 안티그래비티 완벽 가이드,최지호 저,"25,200",9.9,"판매지수 28,176"
6,IT 세상을 만나는 컴퓨터 개론,조성호 저,"29,000",10.0,"판매지수 12,510"
7,Do it! 점프 투 파이썬,박응용 저,"19,800",9.7,"판매지수 54,051"
8,AI 리터러시,"이선종, 이창우, 강승희 저","19,800",10.0,"판매지수 3,174"
9,요즘 바이브 코딩 클로드 코드 완벽 가이드,최지호 저,"21,600",8.4,"판매지수 30,273"
10,컴퓨터개론,"김대수, 김경동 저","28,000",10.0,"판매지수 6,204"
11,진짜 쓰는 실무 엑셀,전진권 저,"18,900",9.8,"판매지수 83,691"
12,난생처음 컴퓨팅 사고 with 파이썬,김명호 저,"23,000",8.5,"판매지수 8,184"
13,파이썬 for Beginner,우재남 저,"26,000",10.0,"판매지수 9,216"
14,난생처음 인공지능 입문,서지영 저,"27,000",10.0,"판매지수 11,088"
15,파워 유저를 위한 파이썬 EXPRESS,"천인국, 천명준 저","35,000",리뷰 없음,"판매지수 6,918"
16,된다! 하루 만에 끝내는 제미나이 활용법,권서림 저,"18,000",9.8,"판매지수 77,334"
17,"AI 시대의 질문력, 프롬프트 엔지니어링",류한석 저,"24,300",9.5,"판매지수 57,738"
18,AI시대의 컴퓨터 개론,"강환수, 조진형, 신용현, 강환일 저","29,000",8.7,"판매지수 9,576"
19,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","현병욱(오땡큐), 신수진 저","18,000",9.7,"판매지수 18,402"
20,쉽게 배우는 운영체제,조성호 저,"33,000",10.0,"판매지수 5,352"
21,난생처음 인공지능 with 스크래치,고광일 저,"25,000",10.0,"판매지수 4,068"
22,두근두근 파이썬,천인국 저,"25,000",6.7,"판매지수 12,000"
23,된다! AI 상위 노출,이중대 저,"17,100",10.0,"판매지수 3,480"
