No,title,author,cost,review,sales_volume,sale,tags
1,인생 마지막에 쓰는 주식투자 교과서,정규준 저,"22,500",10.0,"판매지수 136,137",10%,"#투자심리, #개미일기, #주식투자입문, #슈퍼개미"
2,나의 완벽한 장례식,조현선 저,"17,100",9.6,"판매지수 249,495",10%,#출퇴근길완독도전
3,괴테는 모든 것을 말했다,스즈키 유이 저/이지수 역,"15,300",9.0,"판매지수 415,983",10%,"#이달의굿즈, #새해나의첫책, #이동진의올해의책, #이동진의이달의책, #문학적이면서도진보적인"
4,인생을 위한 최소한의 생각,"신영준, 고영성 저","17,820",9.6,"판매지수 225,045",10%,"#교양을쌓을교양, #가볍게교양쌓기, #1일1교양"
5,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성 저,"17,100",9.9,"판매지수 325,254",10%,"#분철, #한능검심화, #한능검"
6,진보를 위한 주식투자,이광수 저,"19,800",8.8,"판매지수 407,403",10%,"#투자전략, #ETF투자, #주식투자입문, #크레마클럽에있어요, #주식매매법"
7,ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,ETS 저,"19,800",9.8,"판매지수 227,394",10%,"#신유형반영, #연습을실전처럼, #단기간고득점, #너만알려줄게고득점비법, #기출이답이다"
8,ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,ETS 저,"19,800",9.9,"판매지수 210,771",10%,"#신유형반영, #연습을실전처럼, #단기간고득점, #너만알려줄게고득점비법, #기출이답이다"
9,죽은 왕녀를 위한 파반느 (양장 특별판),박민규 저,"18,000",9.5,"판매지수 167,358",10%,"#이달의굿즈, #사랑의형태, #영화드라마원작, #넷플릭스, #크레마클럽에있어요"
10,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성 저,"16,650",10.0,"판매지수 293,382",10%,"#한능검심화, #한능검, #분철"
11,엄마가 유령이 되었어!,노부미 글그림/이기웅 역,"10,800",8.8,"판매지수 286,908",10%,"#눈물버튼그림책, #엄마의사랑, #읽다보면눈물바다"
12,2026 문동균 한국사 D-30 문단속 모의고사,문동균 편저,"14,400",10.0,"판매지수 88,722",10%,#분철
13,해커스 토익 기출 VOCA (보카),David Cho 저,"11,610",9.6,"판매지수 331,122",10%,"#분철, #토익초보추천, #토익보카, #신유형반영, #너도나도보는토익기본서"
14,노력의 배신,최철 저,"17,550",10.0,"판매지수 15,765",10%,#그래제본소
15,자몽살구클럽,한로로 저,"10,800",9.2,"판매지수 314,157",10%,"#죽음에관하여, #삶과죽음, #연예인작가"
16,부처님 말씀대로 살아보니,토니 페르난도 저/강정선 역,"17,010",9.8,"판매지수 108,147",10%,"#이달의굿즈, #마음공부, #마음챙김, #마음다스리기, #마음의평화"
17,박곰희 연금 부자 수업,박곰희 저,"18,900",9.7,"판매지수 520,221",10%,"#이달의굿즈, #은퇴준비, #경제적자유, #똑똑하게투자하기, #노후대비"
18,모순,양귀자 저,"11,700",9.6,"판매지수 495,468",10%,"#책책책_책을읽읍시다, #예스미츠에소개된책, #스트레이키즈현진이읽은책, #내별의책장_스트레이키즈, #삶의의미"
19,김재우의 기본 동사 100,김재우 저,"19,800",9.4,"판매지수 83,553",10%,"#분철, #영어는네이티브처럼, #유튜버의책"
20,돈의 방정식,모건 하우절 저/박영준 역,"25,200",9.4,"판매지수 170,127",10%,"#이달의굿즈, #돈이란무엇인가, #돈관념, #돈을아십니까"
21,경매 100계명 제2부,박홍기 저,"21,600",10.0,"판매지수 55,767",10%,"#경매공부, #투자전략, #똑똑하게투자하기"
22,자본주의 시대에서 살아남기 위한 최소한의 경제 공부,백억남(김욱현) 저,"25,200",9.6,"판매지수 183,684",10%,#내인생첫경제공부
23,너를 아끼며 살아라,나태주 저,"16,650",9.8,"판매지수 276,306",10%,"#마음이따뜻해지는이야기, #위로와응원, #시인에세이"
24,코스피 1만 넥스트 레벨,박시동 저,"19,800",9.4,"판매지수 93,906",10%,#주식투자
25,완벽한 원시인,자청 저,"19,800",9.7,"판매지수 75,693",10%,"#교양을쌓을교양, #1일1교양"
26,세종의 나라 1,김진명 저,"19,800",9.7,"판매지수 64,710",10%,"#집콕엔장편, #무아지경시간순삭"
27,싯다르타,헤르만 헤세 저/박병덕 역,"7,200",9.5,"판매지수 176,424",10%,"#배송비채우기, #북클러버의선택"
28,2026 심우철 실전 동형 모의고사 Season 2,심우철 저,"13,500",9.9,"판매지수 97,893",10%,"#이달의굿즈, #공무원영어"
29,최소한의 삼국지,최태성 저/이성원 감수,"17,550",9.8,"판매지수 302,397",10%,"#고전읽기, #불멸의고전, #고전읽어주는책, #하룻밤에끝내는삼국지, #삼국지"
30,"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성 저,"19,800",9.9,"판매지수 182,529",10%,"#분철, #한능검, #한능검심화"
